Round: 1, Reward: +913.00
Round: 2, Reward: +912.10
Round: 3, Reward: +913.10
Round: 4, Reward: +914.50
Round: 5, Reward: +915.40
Round: 6, Reward: +916.40
Round: 7, Reward: +915.50
Round: 8, Reward: +917.20
Round: 9, Reward: +917.60
Round: 10, Reward: +917.60
Round: 11, Reward: +917.60
Round: 12, Reward: +918.90
Round: 13, Reward: +916.40
Round: 14, Reward: +917.90
Round: 15, Reward: +912.90
